Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
6474,Trekking Guide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6475,Trekking Guide,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6476,Trekking Guide,Oral communication,6,Intermediate,Give instructions to a lost driver
6477,Trekking Guide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6478,Trekking Guide,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6479,Trekking Guide,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6480,Trekking Guide,Writing,5,Intermediate,Prepare a standard operating procedures document
6481,Whitewater Rafting Guide,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6482,Whitewater Rafting Guide,Digital engagement,5,Intermediate,Build and maintain an effective online profile for career management
6483,Whitewater Rafting Guide,Initiative and innovation,7,Intermediate,Coordinate sales campaigns
6484,Whitewater Rafting Guide,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6485,Whitewater Rafting Guide,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6486,Whitewater Rafting Guide,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6487,Whitewater Rafting Guide,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6488,Whitewater Rafting Guide,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6489,Whitewater Rafting Guide,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6490,Whitewater Rafting Guide,Writing,5,Intermediate,Prepare a standard operating procedures document
6491,Sports Umpire,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6492,Sports Umpire,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
6493,Sports Umpire,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6494,Sports Umpire,Writing,5,Intermediate,Prepare a standard operating procedures document
6495,Sports Umpire,Reading,6,Intermediate,Read a memo from management describing new personnel policies
6496,Sports Umpire,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6497,Sports Umpire,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6498,Sports Umpire,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6499,Sports Umpire,Planning and organising,6,Intermediate,Plan and organise your own activities as requirements change
6500,Sports Umpire,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
6501,Lifeguard,Numeracy,1,Basic,Identify the numerical position of items on a shelf from left to right
6502,Lifeguard,Digital engagement,1,Basic,"Name and identify the purpose of familiar digital devices (e.g. mobile phone, computer, tablet)"
6503,Lifeguard,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
6504,Lifeguard,Writing,5,Intermediate,Prepare a standard operating procedures document
6505,Lifeguard,Reading,5,Intermediate,Read and interpret instructions and technical drawings in an equipment instruction manual
6506,Lifeguard,Learning,5,Intermediate,"Learn a new filing system that groups documents by type, security classification, subject and date"
6507,Lifeguard,Problem solving,5,Intermediate,Find evidence to support a history essay in a rare document
6508,Lifeguard,Oral communication,5,Intermediate,Answer a customer’s questions about which product would work best for them
6509,Lifeguard,Planning and organising,4,Intermediate,Schedule time for updating a manager on the progress of work
6510,Lifeguard,Initiative and innovation,6,Intermediate,Find a more efficient way to produce end of month reports
6511,Contract Administrator,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
6512,Contract Administrator,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6513,Contract Administrator,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
6514,Contract Administrator,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
6515,Contract Administrator,Teamwork,6,Intermediate,Initiate team problem solving sessions
6516,Contract Administrator,Writing,7,Intermediate,Write a detailed literature review
6517,Contract Administrator,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6518,Contract Administrator,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
6519,Contract Administrator,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
6520,Contract Administrator,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
6521,Program or Project Administrator,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
6522,Program or Project Administrator,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
6523,Program or Project Administrator,Numeracy,4,Intermediate,Use a blood pressure machine and accurately record the results
6524,Program or Project Administrator,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
6525,Program or Project Administrator,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
6526,Program or Project Administrator,Writing,6,Intermediate,Write a memo to staff outlining new directives
6527,Program or Project Administrator,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
6528,Program or Project Administrator,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
